飞机,fei1 ji1,airplane,Boya_Chapter_1
晚点,wan3 dian3,late; behind schedule,Boya_Chapter_1
进,jin4,advance; enter; to come in,Boya_Chapter_1
看见,kan4 jian4,to see; to catch sight of,Boya_Chapter_1
接,jie1,to meet; to welcome; to receive; to join,Boya_Chapter_1
送,song4,to deliver; to carry; to give (as a present); to present (with); to see off; to send,Boya_Chapter_1
父母,fu4 mu3,father and mother; parents,Boya_Chapter_1
回,hui2,(a measure word for matters or actions) a time; to circle; to go back; to turn around; to answer; to return; to revolve,Boya_Chapter_1
航班,hang2 ban1,flight or voyage number,Boya_Chapter_1
奇怪,qi2 guai4,strange; odd,Boya_Chapter_1
查,cha2,to research; to check; to investigate; to examine; to refer to; to search,Boya_Chapter_1
次,ci4,nth; number (of times); order; sequence; next; second(ary); (measure word),Boya_Chapter_1
日记,ri4 ji4,diary,Boya_Chapter_1
晴,qing2,sunny; clear; fine (weather),Boya_Chapter_1
转,zhuan3,to change; to transfer; to turn; to shift,Boya_Chapter_1
阴,yin1,(of weather) overcast; Yin; feminine; moon; cloudy; negative (electric.); shady,Boya_Chapter_1
父亲,fu4 qin1,father,Boya_Chapter_1
母亲,mu3 qin1,mother (formal),Boya_Chapter_1
机会,ji1 hui4,opportunity; chance; occasion,Boya_Chapter_1
机场,ji1 chang3,airport; management; to manage; to administer,Boya_Chapter_1
正点,zheng4 dian3,on time; on schedule,Boya_Chapter_1
起飞,qi3 fei1,to take off (in an airplane),Boya_Chapter_1
遇到,yu4 dao4,to meet; to run into; to come across,Boya_Chapter_1
泰国,tai4 guo2,Thailand; Thai,Boya_Chapter_1
心情,xin1 qing2,mood; frame of mind,Boya_Chapter_1
登机手续,deng1 ji1 shou3 xu4,check in,Boya_Chapter_1
登机口,deng1 ji1 kou3,gate (of airport),Boya_Chapter_1
搬,ban1,remove; transport; move; shift,Boya_Chapter_2
外面,wai4 mian5,outside,Boya_Chapter_2
房子,fang2 zi5,house,Boya_Chapter_2
银行,yin2 hang2,bank,Boya_Chapter_2
方便,fang1 bian4,convenient,Boya_Chapter_2
离,li2,to leave; to depart; to go away; from,Boya_Chapter_2
近,jin4,near; close (to); approximately,Boya_Chapter_2
房租,fang2 zu1,(n) rent money,Boya_Chapter_2
比,bi3,compare; than; (particle used for comparison),Boya_Chapter_2
厨房,chu2 fang2,kitchen,Boya_Chapter_2
主要,zhu3 yao4,main; principal; major; primary,Boya_Chapter_2
周围,zhou1 wei2,encompass; surrounding,Boya_Chapter_2
练习,lian4 xi2,practice; exercise; drill,Boya_Chapter_2
好处,hao3 chu5,good; benefit; advantage,Boya_Chapter_2
注意,zhu4 yi4,keep an eye on; take note of; (pay) attention (to),Boya_Chapter_2
合适,he2 shi4,suitable; fit; decent,Boya_Chapter_2
中介所,zhong1 jie4 suo3,agent; intermediary,Boya_Chapter_2
发现,fa1 xian4,to find; to discover,Boya_Chapter_2
进步,jin4 bu4,progress,Boya_Chapter_2
以前,yi3 qian2,before; formerly; previous,Boya_Chapter_2
水平,shui3 ping2,"level (of achievement, etc.); standard",Boya_Chapter_2
高,gao1,high; tall,Boya_Chapter_2
流利,liu2 li4,fluent,Boya_Chapter_2
原来,yuan2 lai2,so; it turns out; originally; formerly,Boya_Chapter_2
套,tao4,"to cover; covering; case; cover; (a measure word, a set of something); sheath",Boya_Chapter_2
公寓,gong1 yu4,apartment,Boya_Chapter_2
远,yuan3,far; distant; remote,Boya_Chapter_2
平房,ping2 fang2,one-story house; bungalow,Boya_Chapter_2
暖气,nuan3 qi4,central heating; heater,Boya_Chapter_2
难过,nan2 guo4,have a hard time; feel sorry; be grieved,Boya_Chapter_2
衬衫,chen4 shan1,shirt; blouse,Boya_Chapter_3
同志,tong2 zhi4,comrade,Boya_Chapter_3
走散,zou3 san4,get lost; stray,Boya_Chapter_3
不久,bu4 jiu3,not long (after); before too long; soon; soon after,Boya_Chapter_3
年纪,nian2 ji4,age,Boya_Chapter_3
长,chang2,grow,Boya_Chapter_3
样子,yang4 zi5,appearance; manner; air; looks; aspect,Boya_Chapter_3
头发,tou2 fa5,hair (on the head),Boya_Chapter_3
眼睛,yan3 jing5,eye,Boya_Chapter_3
个子,ge4 zi5,height; stature; build; size,Boya_Chapter_3
米,mi3,(measure word) meter; rice,Boya_Chapter_3
牛仔裤,niu2 zai3 ku4,jeans,Boya_Chapter_3
背,bei4,to be burdened; to carry on the back or shoulder,Boya_Chapter_3
包,bao1,to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for),Boya_Chapter_3
左右,zuo3 you4,about; approximately; left and right; around,Boya_Chapter_3
寻,xun2,to search; to look for; to seek,Boya_Chapter_3
物,wu4,thing; object; matter,Boya_Chapter_3
启事,qi3 shi4,notice,Boya_Chapter_3
南,nan2,south,Boya_Chapter_3
操场,cao1 chang3,playground; sports field,Boya_Chapter_3
丢,diu1,to lose; to put aside; to throw,Boya_Chapter_3
里面,li3 mian4,inside; interior,Boya_Chapter_3
支,zhi1,(a measure word),Boya_Chapter_3
笔,bi3,pen; pencil; writing brush; to write or compose; the strokes of Chinese characters,Boya_Chapter_3
本子,ben3 zi5,book; notebook; edition,Boya_Chapter_3
拾,shi2,pick up; ten (fraud-proof),Boya_Chapter_3
者,zhe3,"-ist, -er (person); person (who does sth)",Boya_Chapter_3
或者,huo4 zhe3,or; possibly; maybe; perhaps,Boya_Chapter_3
联系,lian2 xi4,connection; contact; relation; contact; (in) touch (with); to integrate; to link,Boya_Chapter_3
感谢,gan3 xie4,(express) thanks; gratitude; grateful; thankful; thanks,Boya_Chapter_3
安娜,an1 na4,Anna (person's name),Boya_Chapter_3
